Date,Open,High,Low,Close,Volume,log_return,hv_10,hv_21,hv_63,RSI_14,MACD,MACD_Signal,Rolling_Skew_21,Rolling_Kurt_21,SMA_50,SMA_200,Dist_SMA_50,Dist_SMA_200,GK_Vol,Target_Vol,Pred_EWMA,Pred_GARCH,Pred_XGB
2024-04-17,5068.97021484375,5077.9599609375,5007.25,5022.2099609375,3596130000,-0.0057973750760041,0.138541927325412,0.1158758441028842,0.1182179656308205,25.161331126509324,-12.84765020103805,14.898378117734559,-0.16917155988893337,-0.6687706737461494,5117.73078125,4668.701550292969,-0.01866468253126231,0.07571878537028091,0.0853986849081958,0.117682784884115,0.12105072640112922,0.16347936730451576,0.14094523
2024-04-18,5031.52001953125,5056.66015625,5001.89013671875,5011.1201171875,3619760000,-0.0022106017004853,0.1297678713658031,0.113210329609919,0.1172917207710766,23.603847070980052,-21.30263796869349,7.65817490044895,-0.05615964964388738,-0.4849395460388397,5118.868583984375,4671.479201660156,-0.02104927388329366,0.07270521838278593,0.08734513587143244,0.1165422803275177,0.11542048240766872,0.16347936730451576,0.13596454
2024-04-19,5005.43994140625,5019.02001953125,4953.56005859375,4967.22998046875,3878750000,-0.0087971296540569,0.1073180491524438,0.109169423683084,0.1164569165678116,22.012385920454165,-31.185358516714587,-0.11053178298375725,0.08796411479650414,-0.3553698236020401,5118.311982421875,4674.081252441406,-0.02951793530210638,0.06271793582412033,0.08930232957827153,0.1090894078850315,0.11407181358932579,0.16347936730451576,0.13196442
2024-04-22,4987.330078125,5038.83984375,4969.39990234375,5010.60009765625,3820250000,0.008693351156839,0.1255667975709097,0.1142447709802045,0.1175811690842481,30.457514806320233,-35.11311759189721,-7.1110489447664476,0.1330211985410724,-0.5568931875961913,5118.56578125,4677.076303710937,-0.021092956153702908,0.07131031702020439,0.0946028101862718,0.1072255854152268,0.12165135018409215,0.16347936730451576,0.11394934
2024-04-23,5028.85009765625,5076.1201171875,5027.9599609375,5070.5498046875,3751400000,0.011893566567722,0.1468388549501877,0.1241864715021988,0.1196781931346549,37.2733060674522,-33.007959410793774,-12.290431037971913,0.15393038935866174,-0.8080652115792942,5119.444580078125,4680.434301757812,-0.009550796893259628,0.08335027858059534,0.09642775284041907,0.1036058779566931,0.13272008173314165,0.16347936730451576,0.12928842
2024-04-24,5084.85986328125,5089.47998046875,5047.02001953125,5071.6298828125,3656740000,0.0002129873779329,0.1422872787227431,0.1241901840344694,0.1196810622113289,42.29591552324146,-30.89629979556139,-16.01160478948981,0.08887708946740283,-0.8202035771640668,5120.440380859375,4683.744802246094,-0.009532480493149148,0.08281516114635354,0.0994101567526648,0.1086604622601287,0.12660744851766417,0.16347936730451576,0.11219523
2024-04-25,5019.8798828125,5057.75,4990.580078125,5048.419921875,3958050000,-0.0045869342701194,0.1331214021328876,0.1246049347165876,0.119761453361918,32.925968542940126,-30.741277894931045,-18.957539410578057,0.12035875664831538,-0.8485446730975926,5122.345380859375,4686.790603027343,-0.014431955186116808,0.07715926515131036,0.10372079247626785,0.1074631650465859,0.12216939167118855,0.16347936730451576,0.11787186
2024-04-26,5084.64990234375,5114.6201171875,5073.14013671875,5099.9599609375,3604140000,0.0101573813323253,0.1302158845822492,0.1262980285239201,0.1212831501035438,39.88223911594451,-26.158037929110833,-20.397639114284615,0.14488841030275362,-0.8615297016641846,5124.332177734375,4689.929602050781,-0.004756174258720883,0.087427828065356,0.10482483341288809,0.1038222560580569,0.12750887623752605,0.16347936730451576,0.11275363
2024-04-29,5114.1298828125,5123.490234375,5088.64990234375,5116.169921875,3447450000,0.0031734080766393,0.1134995814872039,0.1270068211472461,0.1205921277874952,40.896883185360664,-20.97598081068554,-20.513307453564803,0.1103170004541934,-0.9215719680855564,5126.0609765625,4692.960251464844,-0.001929562432582156,0.09017968355433156,0.10661611342094802,0.1085192494401249,0.12243552723092757,0.16347936730451576,0.121759355
2024-04-30,5103.77978515625,5110.830078125,5035.31005859375,5035.68994140625,4082470000,-0.0158555511189281,0.1417562174648327,0.1367100305319402,0.1249863256534571,38.55955693531426,-23.096977455458727,-21.03004145394359,0.07423152419733406,-1.0453855930407419,5126.66337890625,4695.6116015625,-0.017745155235725382,0.07242471667175072,0.10815926737272076,0.0930549531897055,0.13919430741777844,0.16347936730451576,0.11607059
