strike,expiry,moneyness,time_to_expiry,bid,ask,impliedVolatility,openInterest,volume,option_type
7315.0,2026-07-08,0.9748329064149035,-0.0027397260273972603,144.2,146.1,1.0000000000000003e-05,30.0,2.0,call
7320.0,2026-07-08,0.9754992310262602,-0.0027397260273972603,139.9,141.8,1.0000000000000003e-05,22.0,6.0,call
7325.0,2026-07-08,0.976165555637617,-0.0027397260273972603,134.5,136.6,1.0000000000000003e-05,46.0,11.0,call
7330.0,2026-07-08,0.9768318802489737,-0.0027397260273972603,131.0,132.9,1.0000000000000003e-05,29.0,6.0,call
7335.0,2026-07-08,0.9774982048603305,-0.0027397260273972603,124.5,126.8,1.0000000000000003e-05,18.0,2.0,call
7340.0,2026-07-08,0.9781645294716872,-0.0027397260273972603,119.6,121.8,1.0000000000000003e-05,28.0,14.0,call
7345.0,2026-07-08,0.9788308540830439,-0.0027397260273972603,116.4,118.3,1.0000000000000003e-05,47.0,3.0,call
7350.0,2026-07-08,0.9794971786944007,-0.0027397260273972603,111.7,112.8,1.0000000000000003e-05,46.0,6.0,call
7355.0,2026-07-08,0.9801635033057574,-0.0027397260273972603,107.2,108.0,1.0000000000000003e-05,56.0,4.0,call
7360.0,2026-07-08,0.9808298279171141,-0.0027397260273972603,102.4,103.2,1.0000000000000003e-05,29.0,17.0,call
7365.0,2026-07-08,0.9814961525284709,-0.0027397260273972603,96.4,97.5,1.0000000000000003e-05,43.0,4.0,call
7370.0,2026-07-08,0.9821624771398276,-0.0027397260273972603,92.7,93.7,1.0000000000000003e-05,94.0,1.0,call
7375.0,2026-07-08,0.9828288017511844,-0.0027397260273972603,87.1,88.1,1.0000000000000003e-05,122.0,7.0,call
7380.0,2026-07-08,0.9834951263625411,-0.0027397260273972603,83.6,84.4,1.0000000000000003e-05,58.0,6.0,call
7385.0,2026-07-08,0.9841614509738978,-0.0027397260273972603,79.0,79.7,1.0000000000000003e-05,39.0,11.0,call
