Date,Open,High,Low,Close,Volume,log_return,hv_10,hv_21,hv_63
2015-01-02,2058.89990234375,2072.360107421875,2046.0400390625,2058.199951171875,2708700000,,,,
2015-01-05,2054.43994140625,2054.43994140625,2017.3399658203125,2020.5799560546875,3799120000,-0.01844721353258727,,,
2015-01-06,2022.1500244140625,2030.25,1992.43994140625,2002.6099853515625,4460110000,-0.00893325469070017,,,
2015-01-07,2005.550048828125,2029.6099853515625,2005.550048828125,2025.9000244140625,3805480000,0.011562735844876304,,,
2015-01-08,2030.6099853515625,2064.080078125,2030.6099853515625,2062.139892578125,3934010000,0.01773016812715569,,,
2015-01-09,2063.449951171875,2064.429931640625,2038.3299560546875,2044.81005859375,3364140000,-0.008439322147078786,,,
2015-01-12,2046.1300048828125,2049.300048828125,2022.5799560546875,2028.260009765625,3456460000,-0.008126616843470486,,,
2015-01-13,2031.5799560546875,2056.929931640625,2008.25,2023.030029296875,4107300000,-0.0025818854358163217,,,
2015-01-14,2018.4000244140625,2018.4000244140625,1988.43994140625,2011.27001953125,4378680000,-0.00583002896797565,,,
2015-01-15,2013.75,2021.3499755859375,1991.469970703125,1992.6700439453125,4276720000,-0.009290903004567546,,,
2015-01-16,1992.25,2020.4599609375,1988.1199951171875,2019.4200439453125,4056410000,0.013334893186267299,0.188873043505714,,
2015-01-20,2020.760009765625,2028.93994140625,2004.489990234375,2022.550048828125,3944340000,0.001548752433400387,0.16499157255920735,,
2015-01-21,2020.18994140625,2038.2900390625,2012.0400390625,2032.1199951171875,3730070000,0.004720465022189361,0.1581617862735391,,
2015-01-22,2034.300048828125,2064.6201171875,2026.3800048828125,2063.14990234375,4176050000,0.015154313070630327,0.1654436284021949,,
2015-01-23,2062.97998046875,2062.97998046875,2050.5400390625,2051.820068359375,3573560000,-0.005506656279301935,0.14239949316332182,,
2015-01-26,2050.419921875,2057.6201171875,2040.969970703125,2057.090087890625,3465760000,0.0025651679986232745,0.13578561659818025,,
2015-01-27,2047.8599853515625,2047.8599853515625,2019.9100341796875,2029.550048828125,3329810000,-0.013478287815857576,0.1475615387538605,,
2015-01-28,2032.3399658203125,2042.489990234375,2001.489990234375,2002.1600341796875,4067530000,-0.01358750281102202,0.16265658163638647,,
2015-01-29,2002.449951171875,2024.6400146484375,1989.1800537109375,2021.25,4127140000,0.00948951705826357,0.16810526966434156,,
2015-01-30,2019.3499755859375,2023.3199462890625,1993.3800048828125,1994.989990234375,4568650000,-0.013077099006318498,0.17520131580169498,,
2015-02-02,1996.6700439453125,2021.6600341796875,1980.9000244140625,2020.8499755859375,4008330000,0.012879170000215516,0.17425094271152722,,
2015-02-03,2022.7099609375,2050.300048828125,2022.7099609375,2050.030029296875,4615900000,0.014336238577453099,0.18852708589289538,0.18097807504803892,
2015-02-04,2048.860107421875,2054.739990234375,2036.719970703125,2041.510009765625,4141920000,-0.0041647065724529616,0.1893532008952575,0.16920285354367887,
2015-02-05,2043.449951171875,2063.550048828125,2043.449951171875,2062.52001953125,3821990000,0.010238810710909235,0.18005256068550243,0.16878198953225235,
2015-02-06,2062.280029296875,2072.39990234375,2049.969970703125,2055.469970703125,4232970000,-0.00342402761187852,0.1785764847038856,0.1653658413011797,
2015-02-09,2053.469970703125,2056.159912109375,2041.8800048828125,2046.739990234375,3549540000,-0.004256239310481708,0.1793046511779446,0.15396579667129548,
2015-02-10,2049.3798828125,2070.860107421875,2048.6201171875,2068.590087890625,3669850000,0.010618979554062366,0.17110141563238432,0.15550684367430323,
2015-02-11,2068.550048828125,2073.47998046875,2057.989990234375,2068.530029296875,3596860000,-2.9034010158247172e-05,0.14881184697073996,0.15231075485030907,
2015-02-12,2069.97998046875,2088.530029296875,2069.97998046875,2088.47998046875,3788350000,0.009598295065916026,0.14894027138167054,0.15459304117932915,
2015-02-13,2088.780029296875,2097.030029296875,2086.699951171875,2096.989990234375,3527450000,0.004066459227779422,0.11787158418672493,0.1524539537905603,
